Conference A Team,Games Won,,Games Won,Conference B Team
Honolulu Aces,3,,4,New Mexico Flyers
Texas Bombers,0,,4,Lexington Royals
Tennessee Wolverines,4,,2,Augusta Mavericks
Abilene Pirates,3,,4,Denver Tigers
Abilene Pirates,3,,4,Wisconsin Titans
California Miners,2,,4,Wisconsin Titans
Honolulu Aces,2,,4,Lexington Royals
Honolulu Aces,4,,1,Lexington Royals
Honolulu Aces,2,,4,North Carolina Bearcats
California Broncos,0,,4,Simi Valley Red Raiders
Texas Indians,4,,2,North Carolina Bearcats
Abilene Pirates,4,,2,Fort Wayne Hawks
Tennessee Wolverines,3,,4,Simi Valley Red Raiders
California Broncos,4,,3,Chattanooga Golden Eagles
California Broncos,4,,0,New Mexico Flyers
Honolulu Aces,1,,4,Fort Wayne Hawks
Honolulu Aces,4,,1,New Mexico Flyers
Texas Indians,4,,2,Chattanooga Golden Eagles
Texas Indians,2,,4,New Mexico Flyers
Honolulu Aces,4,,1,Augusta Mavericks
California Broncos,4,,3,Lexington Royals
Honolulu Aces,4,,3,Fort Wayne Hawks
California Broncos,1,,4,Denver Tigers
Honolulu Aces,4,,2,Denver Tigers
Ohio Patriots,2,,4,Simi Valley Red Raiders
Lexington Grizzlies,4,,1,Florida Spartans
Abilene Pirates,4,,3,Simi Valley Red Raiders
California Miners,4,,3,Simi Valley Red Raiders
Honolulu Aces,3,,4,New Mexico Flyers
Honolulu Aces,4,,2,Simi Valley Red Raiders
Honolulu Aces,4,,1,New Orleans Cobras
California Miners,1,,4,Denver Tigers
Abilene Pirates,2,,4,New Mexico Flyers
California Broncos,2,,4,Florida Spartans
Honolulu Aces,3,,4,Simi Valley Red Raiders
Michigan Titans,4,,2,Port St. Lucie Chargers
Honolulu Aces,4,,2,New Mexico Flyers
Honolulu Aces,4,,3,Augusta Mavericks
Tennessee Wolverines,4,,0,Wisconsin Titans
Michigan Titans,4,,2,Lexington Royals
California Broncos,3,,4,Lexington Royals
Ohio Patriots,4,,1,Lexington Royals
Ohio Patriots,1,,4,Chattanooga Golden Eagles
Honolulu Aces,1,,4,Fort Wayne Hawks
Abilene Pirates,4,,3,New Orleans Cobras
California Miners,3,,4,Fort Wayne Hawks
Tennessee Wolverines,4,,1,Simi Valley Red Raiders
Texas Hawks,4,,3,New Orleans Cobras
Honolulu Aces,4,,1,Green Bay Rebels
Texas Indians,4,,3,Simi Valley Red Raiders
Honolulu Aces,3,,4,Simi Valley Red Raiders
Tennessee Wolverines,4,,3,Lexington Royals
Honolulu Aces,3,,4,Lexington Royals
Honolulu Aces,3,,4,Lexington Royals
California Broncos,4,,1,Lexington Royals
Honolulu Aces,4,,3,Denver Tigers
Honolulu Aces,4,,1,Fort Wayne Hawks
California Broncos,2,,4,Port St. Lucie Chargers
Hialeah Rams,4,,1,Lexington Royals
California Broncos,4,,1,Wisconsin Titans
California Broncos,4,,3,Fort Wayne Hawks
Abilene Pirates,2,,4,New Mexico Flyers
Honolulu Aces,4,,1,Fort Wayne Hawks
California Miners,2,,4,Simi Valley Red Raiders
Tennessee Wolverines,4,,1,Denver Tigers
California Broncos,4,,2,Fort Wayne Hawks
California Broncos,3,,4,Simi Valley Red Raiders
Michigan Titans,4,,3,North Carolina Bearcats
Tennessee Wolverines,2,,4,New Mexico Flyers
Texas Hawks,2,,4,Simi Valley Red Raiders
Honolulu Aces,1,,4,North Carolina Bearcats
Abilene Pirates,1,,4,New Mexico Flyers
California Broncos,4,,3,Fort Wayne Hawks
Honolulu Aces,4,,1,Lexington Royals
California Broncos,2,,4,Wisconsin Titans
California Broncos,2,,4,Wisconsin Titans
Tennessee Wolverines,4,,1,North Carolina Bearcats
California Broncos,2,,4,Denver Tigers
Honolulu Aces,4,,3,New Mexico Flyers
California Broncos,4,,3,Simi Valley Red Raiders
Florida Beavers,0,,4,New Mexico Flyers
Michigan Titans,1,,4,Lexington Royals
California Broncos,2,,4,New Mexico Flyers
Texas Indians,1,,4,New Orleans Cobras
Florida Beavers,1,,4,Simi Valley Red Raiders
Honolulu Aces,2,,4,New Orleans Cobras
California Broncos,3,,4,Fort Wayne Hawks
Michigan Titans,0,,4,Simi Valley Red Raiders
Ohio Patriots,4,,1,Port St. Lucie Chargers
Honolulu Aces,4,,2,Fort Wayne Hawks
Texas Indians,3,,4,Florida Spartans
Texas Hawks,4,,0,Fort Wayne Hawks
Tennessee Wolverines,1,,4,Fort Wayne Hawks
California Miners,0,,4,Simi Valley Red Raiders
Honolulu Aces,4,,2,Green Bay Rebels
Honolulu Aces,3,,4,Fort Wayne Hawks
Honolulu Aces,4,,0,New Mexico Flyers
Texas Hawks,1,,4,North Carolina Bearcats
Texas Hawks,4,,2,Minnesota Cardinals
Abilene Pirates,3,,4,California Red Devils
