Conference A Team,Games Won,,Games Won,Conference B Team
Odessa Tigers,1,,4,Huntsville Rebels
Odessa Tigers,4,,2,Los Angeles Bearcats
Odessa Tigers,4,,1,Orlando Jaguars
Newark Miners,3,,4,Orlando Jaguars
Los Angeles Bearcats,1,,4,Minneapolis Mustangs
Odessa Tigers,4,,1,Anaheim Pioneers
Lexington Pirates,4,,3,California Spartans
Kansas City Rockets,4,,2,Salem Wildcats
Odessa Tigers,3,,4,Minneapolis Mustangs
Odessa Tigers,2,,4,California Crusaders
Anaheim Pioneers,4,,3,Minneapolis Mustangs
Odessa Tigers,4,,3,Fort Collins Crusaders
Anaheim Pioneers,0,,4,North Las Vegas Cardinals
Odessa Tigers,2,,4,North Las Vegas Cardinals
Odessa Tigers,3,,4,North Las Vegas Cardinals
Odessa Tigers,4,,1,North Las Vegas Cardinals
Odessa Tigers,4,,3,Corona Vikings
Simi Valley Falcons,4,,2,California Crusaders
Minneapolis Mustangs,4,,2,California Crusaders
Minneapolis Mustangs,3,,4,Salem Bearcats
Minneapolis Mustangs,1,,4,Salem Bearcats
Fort Collins Crusaders,2,,4,Denver Warriors
Fort Collins Crusaders,4,,1,Alabama Indians
Odessa Tigers,1,,4,Salem Wildcats
North Las Vegas Cardinals,4,,0,Salem Bearcats
Tucson Miners,4,,2,California Spartans
Fort Worth Tigers,4,,3,Denver Warriors
Odessa Tigers,3,,4,Denver Warriors
Anaheim Pioneers,3,,4,Tucson Miners
Fort Worth Tigers,4,,0,Denver Warriors
Minneapolis Mustangs,2,,4,Newark Miners
North Las Vegas Cardinals,2,,4,North Carolina Colts
Denver Warriors,3,,4,Tucson Miners
North Las Vegas Cardinals,4,,1,Corona Vikings
Minneapolis Mustangs,4,,1,Texas Jets
Fort Collins Crusaders,4,,1,Green Bay Indians
Denver Warriors,4,,2,High Point Raiders
Denver Warriors,3,,4,Fort Lauderdale Eagles
North Las Vegas Cardinals,4,,3,Utah Generals
Fort Collins Crusaders,2,,4,Burbank Huskies
Minneapolis Mustangs,1,,4,Fort Lauderdale Eagles
Lakewood Red Devils,1,,4,Odessa Tigers
North Las Vegas Cardinals,4,,3,Virginia Beach Flyers
Denver Warriors,4,,1,Virginia Beach Flyers
Anaheim Pioneers,4,,3,Huntsville Rebels
Fort Worth Tigers,3,,4,Coral Springs Mustangs
North Las Vegas Cardinals,0,,4,California Crusaders
Tucson Miners,2,,4,Austin Patriots
Minneapolis Mustangs,4,,1,California Crusaders
Simi Valley Falcons,4,,0,Denver Warriors
Fort Collins Crusaders,2,,4,California Crusaders
Fort Worth Tigers,3,,4,Denver Warriors
Fort Collins Crusaders,4,,1,Denver Warriors
Minneapolis Mustangs,4,,1,Portland Tigers
Minneapolis Mustangs,2,,4,California Crusaders
Fort Collins Crusaders,1,,4,Denver Warriors
Virginia Beach Flyers,4,,2,Alabama Indians
Huntsville Rebels,4,,2,Salem Wildcats
Anaheim Pioneers,4,,1,Kansas City Rockets
California Crusaders,3,,4,Alabama Indians
Minneapolis Mustangs,4,,1,Jersey City Cowboys
Simi Valley Falcons,3,,4,Orlando Jaguars
Fort Collins Crusaders,4,,2,Odessa Tigers
California Crusaders,4,,2,Burbank Huskies
Fort Worth Tigers,4,,1,Austin Patriots
Minneapolis Mustangs,4,,0,Salem Bearcats
Anaheim Pioneers,3,,4,Odessa Tigers
North Las Vegas Cardinals,4,,2,Tucson Miners
California Crusaders,4,,1,Springfield Spartans
Simi Valley Falcons,4,,1,Fort Lauderdale Eagles
Odessa Tigers,4,,2,Lakewood Red Devils
Jersey City Cowboys,4,,0,Texas Royals
California Crusaders,1,,4,Orlando Cardinals
Anaheim Pioneers,4,,0,Bakersfield Golden Eagles
California Crusaders,4,,1,High Point Raiders
Minneapolis Mustangs,4,,3,Knoxville Hawks
California Crusaders,4,,1,Virginia Beach Flyers
Minneapolis Mustangs,0,,4,Coral Springs Mustangs
Denver Warriors,4,,2,Lakewood Red Devils
California Crusaders,3,,4,Coral Springs Mustangs
Anaheim Pioneers,0,,4,Green Bay Indians
Fort Worth Tigers,4,,2,Knoxville Hawks
North Las Vegas Cardinals,4,,2,Alabama Indians
Minneapolis Mustangs,4,,0,Orange Greyhounds
Lakewood Red Devils,1,,4,Alabama Indians
Springfield Spartans,4,,2,Huntsville Rebels
Odessa Tigers,4,,2,North Carolina Colts
Fort Collins Crusaders,4,,3,Stockton Golden Eagles
Lakewood Red Devils,4,,1,Anchorage Red Devils
California Crusaders,3,,4,Salem Bearcats
Denver Warriors,4,,2,Stockton Golden Eagles
Denver Warriors,3,,4,Tucson Miners
California Crusaders,4,,1,Simi Valley Falcons
Minneapolis Mustangs,2,,4,Green Bay Indians
Minneapolis Mustangs,2,,4,Corona Vikings
Denver Warriors,4,,1,California Spartans
Odessa Tigers,2,,4,Corona Vikings
Chandler Blue Devils,2,,4,California Spartans
Odessa Tigers,2,,4,North Las Vegas Cardinals
California Crusaders,4,,3,Detroit Miners
