Conference A Team,Games Won,,Games Won,Conference B Team
Charleston Falcons,2,,4,Kentucky Hawks
Charleston Falcons,4,,1,Thornton Panthers
Florida Blazers,3,,4,California Cubs
Charleston Falcons,4,,3,California Cardinals
Texas Bobcats,4,,2,California Cardinals
Hawaii Panthers,1,,4,Oregon Reds
Fontana Comets,2,,4,Thornton Panthers
Hawaii Panthers,1,,4,Thornton Panthers
Florida Blazers,2,,4,Thornton Panthers
Fontana Comets,1,,4,Thornton Panthers
Huntington Beach Trojans,4,,0,Albuquerque Titans
Texas Bobcats,4,,3,Louisiana Saints
Fontana Comets,0,,4,Oregon Reds
Plano Rockets,4,,0,Georgia Mustangs
Charleston Falcons,4,,2,California Cardinals
Fontana Comets,4,,2,California Cubs
Fontana Comets,1,,4,Thornton Panthers
Hawaii Panthers,2,,4,Thornton Panthers
Florida Blazers,3,,4,Oregon Reds
Florida Blazers,4,,3,Madison Bruins
Plano Rockets,3,,4,California Cardinals
Virginia Huskies,4,,2,Georgia Mustangs
Florida Blazers,2,,4,Louisiana Saints
Texas Bobcats,4,,3,Oregon Reds
Huntington Beach Trojans,4,,0,Thornton Panthers
Fontana Comets,4,,1,Kentucky Hawks
Fontana Comets,4,,3,Florida Jaguars
Florida Blazers,2,,4,Florida Braves
Texas Bobcats,2,,4,Madison Bruins
Hawaii Panthers,2,,4,Georgia Mustangs
Fontana Comets,4,,1,Thornton Panthers
Texas Bobcats,4,,2,Oregon Reds
Texas Warriors,2,,4,California Cardinals
Texas Bobcats,3,,4,Thornton Panthers
Charleston Falcons,1,,4,Thornton Panthers
Fontana Comets,4,,0,California Cardinals
Florida Blazers,1,,4,Oregon Reds
Hawaii Panthers,2,,4,Indiana Indians
Florida Blazers,1,,4,Thornton Panthers
Florida Blazers,3,,4,Thornton Panthers
Florida Blazers,4,,1,Louisiana Saints
Plano Rockets,4,,2,Thornton Panthers
Hawaii Panthers,4,,3,Albuquerque Titans
Florida Blazers,4,,2,Thornton Panthers
Texas Bobcats,2,,4,Kentucky Hawks
Florida Blazers,4,,3,Oregon Reds
Florida Comets,4,,2,Raleigh Spartans
Fontana Comets,3,,4,Oregon Reds
Florida Blazers,3,,4,Thornton Panthers
Fontana Comets,4,,3,Thornton Panthers
Hawaii Panthers,4,,1,Thornton Panthers
Hawaii Panthers,3,,4,California Cardinals
Huntington Beach Trojans,4,,1,Thornton Panthers
Texas Warriors,4,,1,Thornton Panthers
Charleston Falcons,4,,1,Thornton Panthers
Fontana Comets,4,,3,Thornton Panthers
Texas Warriors,0,,4,California Cardinals
Florida Blazers,1,,4,Madison Bruins
Fontana Comets,1,,4,Oregon Reds
Texas Bobcats,3,,4,Oregon Reds
Hawaii Panthers,1,,4,Thornton Panthers
Fontana Comets,1,,4,California Cardinals
Fontana Comets,4,,2,Oregon Reds
Florida Blazers,0,,4,California Cardinals
Plano Rockets,3,,4,Thornton Panthers
Hawaii Panthers,3,,4,Albuquerque Titans
Houston Rangers,3,,4,Louisiana Saints
Florida Blazers,4,,1,Madison Bruins
Fontana Comets,3,,4,Kentucky Hawks
Florida Blazers,4,,2,Thornton Panthers
Texas Bobcats,4,,3,Georgia Mustangs
Florida Blazers,4,,0,Kentucky Hawks
Fontana Comets,3,,4,California Cardinals
Fontana Comets,4,,2,Thornton Panthers
Fontana Comets,2,,4,Madison Bruins
Florida Blazers,4,,1,California Cardinals
Texas Bobcats,2,,4,Thornton Panthers
Houston Rangers,2,,4,Thornton Panthers
Florida Blazers,4,,1,California Cardinals
Florida Blazers,2,,4,Oregon Reds
Fontana Comets,3,,4,Madison Bruins
Florida Blazers,3,,4,Albuquerque Titans
Florida Blazers,4,,2,Oregon Reds
Hawaii Panthers,4,,1,California Cardinals
Charleston Falcons,3,,4,Thornton Panthers
Texas Bobcats,4,,2,Oregon Reds
Fontana Comets,2,,4,California Cardinals
Hawaii Panthers,2,,4,California Cardinals
Texas Bobcats,4,,3,Oregon Reds
Hawaii Panthers,4,,3,Madison Bruins
Fontana Comets,2,,4,California Cubs
Florida Blazers,4,,2,Oregon Reds
Florida Blazers,2,,4,Albuquerque Titans
Plano Rockets,2,,4,Thornton Panthers
Fontana Comets,4,,3,California Cardinals
Florida Blazers,3,,4,California Cardinals
Florida Blazers,2,,4,Indiana Indians
Hawaii Panthers,4,,3,Georgia Mustangs
Fontana Comets,4,,2,Oregon Reds
Charleston Falcons,1,,4,Thornton Panthers
