Division A,Wins,Losses,Runs Scored,Runs Against,Division Rank,Conference Rank,League Rank
California Eagles,91,65,2274,1923,1,3,3
Tennessee Rockets,88,68,1907,1743,2,5,6
California Chargers,82,74,1988,2002,3,8,12
Oklahoma Bluejays,70,86,1945,1768,4,13,25
Division B,Wins,Losses,Runs Scored,Runs Against,Division Rank,Conference Rank,League Rank
Arizona Jaguars,92,64,1990,1638,1,2,2
Texas Crusaders,90,66,2022,1795,2,4,4
Wisconsin Pirates,87,69,2092,1952,3,7,8
Austin Braves,70,86,1846,1861,4,14,26
Division C,Wins,Losses,Runs Scored,Runs Against,Division Rank,Conference Rank,League Rank
Gresham Pirates,79,77,1704,1906,1,10,16
Nevada Rockets,76,80,1977,2078,2,11,19
Renton Buccaneers,76,80,2024,2244,3,12,20
Florida Bombers,70,86,1644,2209,4,15,28
Division D,Wins,Losses,Runs Scored,Runs Against,Division Rank,Conference Rank,League Rank
Virginia Bombers,94,62,1867,1724,1,1,1
Philadelphia Wolverines,87,69,2245,2094,2,6,7
Texas Chargers,80,76,1939,1766,3,9,14
Aurora Braves,54,102,1478,2028,4,16,32
Division E,Wins,Losses,Runs Scored,Runs Against,Division Rank,Conference Rank,League Rank
California Sharks,84,72,1949,1629,1,3,10
California Cavaliers,78,78,1933,2067,2,8,18
California Bobcats,71,85,2009,1970,3,12,24
Washington Warriors,68,88,1823,2206,4,14,29
Division F,Wins,Losses,Runs Scored,Runs Against,Division Rank,Conference Rank,League Rank
Nebraska Highlanders,78,78,2003,2040,1,7,17
Torrance Flyers,74,82,1941,1569,2,9,21
Spokane Comets,74,82,1611,1845,3,10,22
Texas Red Devils,74,82,1512,1748,4,11,23
Division G,Wins,Losses,Runs Scored,Runs Against,Division Rank,Conference Rank,League Rank
New York Hornets,87,69,2132,2013,1,2,9
Missouri Lions,81,75,2040,2124,2,5,13
Anaheim Crusaders,79,77,1975,1928,3,6,15
California Yellowjackets,67,89,1726,1813,4,15,30
Division H,Wins,Losses,Runs Scored,Runs Against,Division Rank,Conference Rank,League Rank
Ontario Bobcats,88,68,2148,1795,1,1,5
Pennsylvania Lancers,82,74,2129,1838,2,4,11
Louisiana Cougars,70,86,1656,1776,3,13,27
Atlanta Bulldogs,55,101,1518,1955,4,16,31
